City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cape Town,20,ZA,1584203286,60,-33.93,18.42,297.04,5.7
Batemans Bay,12,AU,1584203688,87,-35.72,150.18,277.59,1.47
Qaanaaq,0,GL,1584203576,60,77.48,-69.36,244.74,2.15
Seoul,1,KR,1584203174,80,37.57,126.98,278.15,1
Herbeumont,96,BE,1584203853,81,49.78,5.24,281.48,5.7
Khorramshahr,40,IR,1584203854,68,30.44,48.17,292.15,4.1
San Cristobal,75,VE,1584203854,78,7.77,-72.22,298.15,2.6
Upernavik,100,GL,1584203854,93,72.79,-56.15,250.84,2.05
Geraldton,40,AU,1584203854,83,-28.77,114.6,296.15,3.6
Verāval,47,IN,1584203854,59,20.9,70.37,293.04,1.72
Santa Cruz de la Sierra,40,BO,1584203808,44,-17.8,-63.17,309.15,3.6
Talcahuano,0,CL,1584203855,42,-36.72,-73.12,293.15,6.2
Al Bardīyah,100,LY,1584203855,88,31.76,25.09,289.44,4.64
Bredasdorp,13,ZA,1584203564,56,-34.53,20.04,294.15,7.7
George Town,20,MY,1584203855,83,5.41,100.34,302.15,1.5
Kaitangata,70,NZ,1584203855,84,-46.28,169.85,285.93,8.79
Khatanga,84,RU,1584203855,96,71.97,102.5,270.64,7.13
Hofn,100,IS,1584203614,62,64.25,-15.21,273.34,9.53
Albany,75,US,1584203856,45,42.6,-73.97,281.48,7.7
Sinnamary,50,GF,1584203631,74,5.38,-52.95,300.14,5.54
Kavieng,100,PG,1584203856,73,-2.57,150.8,302.04,5.03
Poya,84,NC,1584203856,81,-21.35,165.15,300.64,5.43
Yulara,0,AU,1584203856,28,-25.24,130.99,301.15,6.2
North Platte,100,US,1584203664,93,41.12,-100.77,272.04,4.02
Naze,75,JP,1584203650,58,28.37,129.48,288.15,10.3
Severo-Kuril'sk,46,RU,1584203600,81,50.68,156.12,260.84,1.62
Cabo San Lucas,5,MX,1584203857,77,22.89,-109.91,297.59,4.75
Norman Wells,75,CA,1584203857,84,65.28,-126.83,256.15,1
Banjar,20,ID,1584203756,94,-8.19,114.97,301.15,1.5
Lompoc,90,US,1584203623,81,34.64,-120.46,287.15,3.1
Arrondissement de Vire,90,FR,1584203857,71,48.92,-0.83,284.15,6.2
Bahía Honda,21,CU,1584203857,63,22.9,-83.16,300.84,5.91
Karpogory,100,RU,1584203857,95,64,44.45,266.84,2.84
East London,20,ZA,1584203857,88,-33.02,27.91,294.15,2.6
Tierralta,77,CO,1584203857,61,8.17,-76.06,302.64,2.28
Mujiayingzi,36,CN,1584203858,61,42.12,118.78,270.64,7.5
Chumikan,78,RU,1584203858,82,54.72,135.31,255.44,2.59
Kapaa,1,US,1584203576,82,22.08,-159.32,291.15,3.6
Ancud,75,CL,1584203858,51,-41.87,-73.82,289.15,2.1
Berlevåg,100,NO,1584203858,67,70.86,29.09,268.74,7.59
Fairbanks,1,US,1584203637,91,64.84,-147.72,262.04,3.1
Fenoarivo,75,MG,1584203858,82,-18.93,47.44,293.15,3.6
Hasaki,40,JP,1584203858,100,35.73,140.83,275.15,2.1
La Ronge,75,CA,1584203641,69,55.1,-105.28,251.15,1.5
Qingdao,0,CN,1584203738,50,36.1,120.37,282.04,2
Provideniya,100,RU,1584203859,58,64.38,-173.3,265.14,3.45
Vila do Maio,96,CV,1584203859,22,15.13,-23.22,304.15,10.8
Havøysund,100,NO,1584203859,67,71,24.66,267.15,8.2
Codrington,61,AU,1584203859,74,-38.27,141.97,287.54,7.05
Tura,100,IN,1584203579,68,25.52,90.22,293.74,4.13
Victoria Point,8,AU,1584203859,77,-27.58,153.3,293.71,4.6
Nova Olinda do Norte,100,BR,1584203859,89,-3.89,-59.09,302.24,1.03
Senneterre,40,CA,1584203859,67,48.38,-77.23,266.15,6.7
Sarangani,100,PH,1584203860,73,5.4,125.46,300.24,4.1
Turukhansk,100,RU,1584203860,96,65.82,87.98,272.24,6.82
Bethel,1,US,1584203860,39,41.37,-73.41,284.26,5.1
Clarence Town,75,AU,1584203860,68,-32.58,151.78,292.59,7.7
New Albany,90,US,1584203860,75,38.29,-85.82,279.26,2.1
Salalah,20,OM,1584203860,61,17.02,54.09,298.15,2.6
Comodoro Rivadavia,0,AR,1584203822,45,-45.87,-67.5,293.15,3.1
Houma,20,US,1584203860,78,29.6,-90.72,299.82,4.6
Port Macquarie,100,AU,1584203861,93,-31.43,152.92,289.82,3.6
Narsaq,75,GL,1584203861,67,60.92,-46.05,268.15,0.61
Padang,100,ID,1584203861,93,-0.95,100.35,294.04,2.51
Bull Savanna,0,JM,1584203861,45,17.89,-77.59,302.44,3.36
Nosy Varika,48,MG,1584203861,91,-20.58,48.53,297.54,2.13
Saskylakh,100,RU,1584203861,94,71.92,114.08,256.24,7.01
La Santisima Trinidad,75,BO,1584203861,66,-14.83,-64.9,306.15,2.1
Vila Velha,40,BR,1584203862,66,-20.33,-40.29,302.59,4.6
Ahipara,0,NZ,1584203651,75,-35.17,173.17,290.44,3.39
Suntar,100,RU,1584203862,94,62.14,117.63,264.14,3.87
Bud,90,US,1584203862,90,39.45,-86.18,277.15,3.6
Yumen,100,CN,1584203602,23,40.28,97.2,276.14,5.86
Constitución,54,CL,1584203862,39,-35.33,-72.42,293.04,6.08
Seydi,29,TM,1584203862,22,39.48,62.91,291.04,4.76
Sayyan,39,YE,1584203862,54,15.17,44.32,289.84,2.7
Parau,0,NZ,1584203863,93,-36.97,174.61,290.93,1.5
Cap Malheureux,40,MU,1584203863,83,-19.98,57.61,299.15,1.5
Port Hedland,7,AU,1584203863,88,-20.32,118.57,300.15,2.6
Aguada de Pasajeros,40,CU,1584203863,55,22.39,-80.85,303.15,5.7
Fortuna,40,US,1584203623,100,40.6,-124.16,281.48,5.1
Aksarayskiy,82,RU,1584203863,66,46.79,48.01,284.82,4
Keti Bandar,67,PK,1584203863,59,24.14,67.45,294.94,4.16
Pisco,40,PE,1584203589,30,-13.7,-76.22,299.26,3.6
Oussouye,9,SN,1584203864,43,12.48,-16.55,313.15,4.1
Matamoros,40,MX,1584203864,24,25.53,-103.25,299.15,2.1
Arraial do Cabo,40,BR,1584203864,70,-22.97,-42.03,304.15,5.7
Eurajoki,17,FI,1584203864,58,61.2,21.73,271.15,4.1
Sangar,100,RU,1584203864,98,63.92,127.47,246.84,2.11
Dunmore,1,US,1584203696,36,41.42,-75.63,282.59,4.1
Bāfq,98,IR,1584203864,18,31.61,55.41,292.84,5.26
Graaff-Reinet,0,ZA,1584203865,72,-32.25,24.53,294.54,11.66
Moroni,75,KM,1584203865,88,-11.7,43.26,300.15,6.7
Kendari,100,ID,1584203865,95,-3.94,122.5,296.74,1.01
Saint-Joseph,20,RE,1584203865,83,-21.37,55.62,299.15,7.7
Lokoja,100,NG,1584203865,17,7.8,6.74,306.44,0.9
Iqaluit,5,CA,1584203593,61,63.75,-68.51,244.26,5.1
Mildura,0,AU,1584203865,54,-34.2,142.15,286.15,5.1
Lithakia,94,GR,1584203865,82,37.72,20.83,292.15,2.1
Ribeira Grande,20,PT,1584203866,68,38.52,-28.7,291.15,7.2
Gornoye Loo,90,RU,1584203866,100,43.71,39.6,284.82,2
Havre-St-Pierre,75,CA,1584203866,79,50.23,-63.6,270.15,5.1
Natal,75,BR,1584203628,62,-5.79,-35.21,304.15,6.2
Lüderitz,0,NA,1584203866,64,-26.65,15.16,296.15,11.3
Port Elizabeth,20,ZA,1584203866,82,-33.92,25.57,293.15,8.2
Antsohihy,100,MG,1584203866,92,-14.88,47.99,298.64,0.19
Goderich,100,CA,1584203830,80,43.75,-81.72,273.71,6.26
Miraflores,5,MX,1584203660,35,19.22,-98.81,300.15,1
Álamos,0,MX,1584203867,62,27.02,-108.93,293.71,0.45
Bandarbeyla,9,SO,1584203867,81,9.49,50.81,299.14,6.57
Tual,100,ID,1584203867,78,-5.67,132.75,300.64,5.6
Honningsvåg,100,NO,1584203867,68,70.98,25.97,269.34,9.23
Griffith,90,US,1584203867,64,41.53,-87.42,277.15,3.1
Albuquerque,20,US,1584203757,45,35.08,-106.65,283.71,1.5
Trincomalee,6,LK,1584203867,95,8.57,81.23,294.84,0.96
Hobyo,43,SO,1584203868,75,5.35,48.53,300.34,7.85
Margate,40,GB,1584203868,87,51.38,1.39,284.82,5.7
Ambilobe,100,MG,1584203868,83,-13.2,49.05,301.04,4.87
Sibut,40,CF,1584203868,18,5.72,19.07,301.24,0.81
Bambous Virieux,40,MU,1584203868,83,-20.34,57.76,299.15,1.5
Gorontalo,61,ID,1584203709,92,0.54,123.06,295.84,1.95
Nyurba,100,RU,1584203868,94,63.28,118.33,261.64,3.75
Saint-Augustin,97,CA,1584203868,76,51.23,-58.65,272.84,12.13
Longyearbyen,40,SJ,1584203866,53,78.22,15.64,254.15,8.7
Liberal,90,US,1584203869,100,37.04,-100.92,275.93,4.6
Pirgos,87,GR,1584203869,82,35.12,25.72,290.93,1
Manavgat,30,TR,1584203869,88,36.79,31.44,290.15,2.6
Terrace,5,CA,1584203772,28,54.52,-128.6,266.15,5.7
Terney,65,RU,1584203869,88,45.05,136.61,265.44,2.14
Severnyy,75,RU,1584203869,60,50.68,36.55,279.15,4
Bilma,0,NE,1584203870,13,18.69,12.92,295.14,3.26
Chara,55,RU,1584203870,77,56.91,118.26,251.24,0.65
Voznesen'ye,100,RU,1584203870,90,61.01,35.48,268.34,9.3
Kembé,95,CF,1584203870,49,4.62,21.89,301.44,0.97
Aksarka,100,RU,1584203870,90,66.56,67.8,258.84,8.49
Trofors,100,NO,1584203870,64,65.53,13.41,275.15,9.8
Christchurch,22,NZ,1584203796,87,-43.53,172.63,287.15,1
Meadow Lake,1,US,1584203870,45,34.8,-106.54,283.71,2.1
Tocopilla,76,CL,1584203871,37,-22.09,-70.2,297.64,5.05
Souillac,40,MU,1584203871,83,-20.52,57.52,299.15,1.5
Korla,100,CN,1584203871,64,41.76,86.15,276.48,1.52
Tateyama,75,JP,1584203592,86,34.98,139.87,278.15,2.1
Mariental,0,NA,1584203871,16,-24.63,17.97,300.94,1.6
Salair,98,RU,1584203871,86,54.23,85.8,272.44,6.69
San Patricio,75,MX,1584203871,74,19.22,-104.7,303.15,2.49
Acapulco de Juárez,40,MX,1584203872,66,16.86,-99.89,302.15,1
Yunyang,36,CN,1584203872,24,33.45,112.71,282.44,1.01
Canandaigua,90,US,1584203872,69,42.87,-77.29,277.04,4.1
Lagoa,100,PT,1584203646,77,39.05,-27.98,288.84,4.7
Petropavlovsk-Kamchatskiy,20,RU,1584203872,61,53.05,158.65,265.15,5
Biała Podlaska,80,PL,1584203872,49,52.03,23.12,272.54,5.47
Thompson,20,CA,1584203872,57,55.74,-97.86,251.15,1
Klaksvík,100,FO,1584203873,62,62.23,-6.59,277.15,1.5
Zarinsk,96,RU,1584203873,78,53.71,84.95,274.54,7.78
Ilulissat,90,GL,1584203615,77,69.22,-51.1,258.15,5.7
Husavik,40,IS,1584203606,62,66.04,-17.34,269.15,3.1
Coari,95,BR,1584203873,62,-4.08,-63.14,305.74,0.78
Etchoropo,0,MX,1584203873,66,26.77,-109.67,293.71,2.68
Necochea,67,AR,1584203816,55,-38.55,-58.74,295.93,8.05
Neuquén,0,AR,1584203704,30,-38.95,-68.06,294.15,2.6
Arti,100,RU,1584203874,97,56.42,58.53,271.44,2.43
Marsá Maţrūḩ,45,EG,1584203874,88,31.35,27.25,289.54,4.46
La Paz,40,BO,1584203683,58,-16.5,-68.15,285.15,3.6
Ormara,100,PK,1584203874,70,25.21,64.64,295.64,3.37
Abalak,77,RU,1584203874,83,58.13,68.59,274.34,5.25
Barcelos,0,PT,1584203874,63,41.54,-8.62,294.26,4.1
Coquimbo,75,CL,1584203584,77,-29.95,-71.34,292.15,4.6
Te Anau,100,NZ,1584203874,72,-45.42,167.72,282.74,0.36
Avdon,75,RU,1584203875,100,54.67,55.72,274.82,5
Manggar,83,ID,1584203875,69,-2.88,108.27,301.14,1.19
Caravelas,19,BR,1584203875,76,-17.71,-39.25,300.24,4.56
Katsuura,75,JP,1584203875,86,35.13,140.3,278.15,2.1
Tsaratanana,80,MG,1584203875,81,-16.78,47.65,295.14,3.39
Ucluelet,20,CA,1584203803,29,48.93,-125.55,276.15,3.6
Souris,75,CA,1584203875,65,49.62,-100.26,259.15,7.2
Tautira,20,PF,1584203875,83,-17.73,-149.15,299.15,1.5
Pericos,75,MX,1584203876,64,25.05,-107.7,298.71,3.47
Wanning,98,CN,1584203876,94,18.8,110.4,295.44,2.53
Wawa,63,NG,1584203876,24,9.9,4.42,305.14,1.65
São Filipe,100,CV,1584203876,55,14.9,-24.5,297.64,6.38
Toccoa,90,US,1584203876,58,34.58,-83.33,291.48,3.51
Viana,40,BR,1584203876,66,-20.39,-40.5,302.59,4.6
Mercedes,65,AR,1584203876,45,-34.65,-59.43,301.94,7.23
Hualmay,76,PE,1584203877,56,-11.1,-77.61,300.64,4.99
Hong Kong,40,HK,1584203877,56,22.29,114.16,294.82,4.1
Deputatsky,0,RU,1584203877,97,69.3,139.9,236.34,0.48
Eyrarbakki,20,IS,1584203877,54,63.86,-21.15,273.15,5.7
Camapuã,11,BR,1584203877,53,-19.53,-54.04,304.44,2.83
Qui Nhon,48,VN,1584203793,92,13.77,109.23,295.24,1.22
Ust-Nera,0,RU,1584203877,97,64.57,143.2,240.24,0.64
Smithers,5,CA,1584203640,64,54.78,-127.17,255.15,1.68
Toro,75,CO,1584203593,100,4.61,-76.08,294.15,0.92
Nemuro,100,JP,1584203878,90,43.32,145.57,272.14,4.71
Laguna,90,US,1584203878,81,38.42,-121.42,286.15,4.1
Carmo do Paranaíba,54,BR,1584203878,76,-19,-46.32,298.44,2.41
Vila Franca do Campo,20,PT,1584203878,72,37.72,-25.43,290.15,5.1
Sabang,57,ID,1584203878,80,5.89,95.32,301.74,3.55
Pozo Colorado,47,PY,1584203878,23,-23.49,-58.8,312.64,2.42
Clyde River,5,CA,1584203878,68,70.47,-68.59,245.15,2.1
Armizonskoye,43,RU,1584203878,86,55.95,67.67,273.34,6.33
Kédougou,13,SN,1584203879,13,12.56,-12.17,313.15,3.1
Ati,0,TD,1584203879,10,13.22,18.34,300.64,4.75
Safaga,40,EG,1584203879,64,26.73,33.94,292.94,3.61
Pevek,30,RU,1584203879,89,69.7,170.31,246.34,4.36
Daru,38,PG,1584203665,94,-9.08,143.21,296.44,2
Cache Creek,40,CA,1584203879,63,50.81,-121.32,264.15,7.7
Barentu,36,ER,1584203879,37,15.11,37.59,295.54,3.53
Henties Bay,0,NA,1584203879,90,-22.12,14.28,292.04,4.02
Ostrovnoy,100,RU,1584203880,79,68.05,39.51,264.94,5.53
Chokurdakh,69,RU,1584203880,98,70.63,147.92,239.74,1.9
Khani,90,GE,1584203597,93,41.96,42.96,284.15,5.1
Kilingi-Nõmme,79,EE,1584203880,57,58.15,24.96,271.44,4.86
Nantucket,1,US,1584203880,45,41.28,-70.1,284.15,11.8
Castro,2,BR,1584203880,31,-24.79,-50.01,302.14,1.78
Kutum,1,SD,1584203880,16,14.2,24.67,291.84,2
Bathsheba,40,BB,1584203880,65,13.22,-59.52,301.15,7.7
Mulegé,0,MX,1584203880,58,26.88,-111.98,292.74,2.48
Saint-Pierre,20,RE,1584203881,83,-21.34,55.48,299.15,7.7
Kanigoro,100,ID,1584203881,94,-8.13,112.22,296.84,1.57
Popondetta,100,PG,1584203881,93,-8.75,148.25,295.14,1.81
Gigmoto,67,PH,1584203881,69,13.78,124.39,299.84,4.05
Yashan,83,CN,1584203881,62,22.2,109.94,294.24,1.78
Camocim,75,BR,1584203881,94,-2.9,-40.84,300.15,3.6
Faya,100,SA,1584203881,82,18.39,42.45,290.15,5.1
Asha,100,RU,1584203881,96,55,57.27,273.04,2.2
Itoman,75,JP,1584203630,58,26.12,127.67,288.15,8.7
Eirunepé,100,BR,1584203882,62,-6.66,-69.87,304.54,0.72
Beloha,60,MG,1584203882,79,-25.17,45.05,296.74,8.11
Skjervøy,100,NO,1584203882,63,70.03,20.97,268.94,9.46
Mossamedes,20,AO,1584203882,74,-15.2,12.15,300.15,8.2
Airai,75,TL,1584203882,85,-8.93,125.41,291.94,1.23
Shimoda,84,JP,1584203882,93,34.67,138.95,278.15,1.83
Bowling Green,90,US,1584203882,65,36.99,-86.44,283.15,4.1
Ploemeur,90,FR,1584203883,76,47.73,-3.43,284.82,4.6
Inírida,100,CO,1584203883,83,3.87,-67.92,300.14,0.73
Revelstoke,1,CA,1584203664,37,50.98,-118.2,267.15,12.3
Tambovka,40,RU,1584203883,66,50.1,128.05,263.15,7
Kumul,87,CN,1584203883,31,42.8,93.45,275.74,1.3
Paraná,100,AR,1584203883,30,-31.73,-60.52,310.64,0.29
Nuuk,75,GL,1584203883,55,64.18,-51.72,261.15,4.1
Carutapera,100,BR,1584203884,80,-1.2,-46.02,300.44,4.78
Najrān,40,SA,1584203643,27,17.49,44.13,304.15,4.1
Balarāmpur,100,IN,1584203884,76,23.12,86.22,293.04,1.59
Halberstadt,66,DE,1584203884,61,51.9,11.05,283.15,4.1
Nioro,0,GM,1584203884,7,13.35,-15.75,311.94,4.62
Lang Son,99,VN,1584203884,76,21.83,106.73,289.94,1.32
Palmer,40,US,1584203884,42,42.16,-72.33,283.71,8.2
Alta Floresta,75,BR,1584203884,70,-9.88,-56.09,303.15,2.6
Kulhudhuffushi,1,MV,1584203885,76,6.62,73.07,302.04,3.91
Sabha,13,LY,1584203885,17,27.04,14.43,293.14,3.21
Ak-Dovurak,20,RU,1584203885,76,51.18,90.6,261.14,0.41
Rocha,35,UY,1584203885,44,-34.48,-54.33,305.14,5.6
Capinota,20,BO,1584203885,36,-17.72,-66.23,298.15,1.5
Westport,1,US,1584203643,31,41.14,-73.36,284.26,4.1
Leningradskiy,0,RU,1584203886,74,69.38,178.42,249.24,2.16
Gdynia,0,PL,1584203619,51,54.52,18.53,275.37,4.6
Lakatoro,75,VU,1584203886,94,-16.1,167.42,299.15,3.6
Prieska,0,ZA,1584203886,18,-29.66,22.75,299.54,4.83
Hithadhoo,21,MV,1584203886,61,-0.6,73.08,301.74,1.16
Port Blair,15,IN,1584203886,68,11.67,92.75,301.24,2.89
Yekaterinoslavka,100,RU,1584203886,92,50.37,129.11,259.44,5.62
Øksfjord,100,NO,1584203886,52,70.24,22.35,267.15,10.8
Moramanga,76,MG,1584203887,97,-18.93,48.2,290.04,1.74
Gao,1,ML,1584203887,9,16.64,1.64,304.34,3.14
Hillsborough,90,US,1584203887,87,37.57,-122.38,286.48,5.7
Chone,79,EC,1584203887,85,-0.68,-80.1,298.74,1.45
Maceió,40,BR,1584203887,62,-9.67,-35.74,303.15,4.6
Antofagasta,20,CL,1584203789,68,-23.65,-70.4,295.37,6.7
Bengkulu,100,ID,1584203887,90,-3.8,102.27,297.14,1.7
Ponta do Sol,75,PT,1584203887,59,32.67,-17.1,290.15,6.2
Puqi,0,CN,1584203888,59,29.72,113.88,283.24,0.87
Menongue,74,AO,1584203598,95,-14.66,17.69,292.04,2.05
Millinocket,90,US,1584203888,51,45.66,-68.71,279.26,9.3
Gornopravdinsk,96,RU,1584203888,87,60.05,69.9,274.54,5.72
Hutchinson,90,US,1584203636,93,38.06,-97.93,277.15,4.1
Orzinuovi,75,IT,1584203888,57,45.4,9.92,284.82,1.5
Alihe,42,CN,1584203654,89,50.57,123.72,252.04,1.98
Homburg,20,DE,1584203888,77,49.32,7.33,284.82,3.1
Avera,1,US,1584203889,46,33.19,-82.53,299.26,2.6
Baoqing,79,CN,1584203889,90,46.33,132.21,261.04,0.99
Philadelphia,1,US,1584203695,29,39.95,-75.16,285.93,4.1
Sørland,100,NO,1584203889,91,67.67,12.69,276.84,24.02
Kotapārh,72,IN,1584203889,47,19.15,82.35,298.04,2.43
Antanifotsy,59,MG,1584203889,87,-19.65,47.32,290.54,2.59
Chimbote,66,PE,1584203889,53,-9.09,-78.58,301.84,5.34
Whitehorse,20,CA,1584203646,83,60.72,-135.05,252.04,0.85
Malabo,75,GQ,1584203890,74,3.75,8.78,303.15,3.6
Pokaran,0,IN,1584203691,30,26.92,71.92,294.14,2.48
San Vicente de Cañete,100,PE,1584203890,76,-13.08,-76.38,297.24,3.85
Quatre Cocos,40,MU,1584203890,83,-20.21,57.76,299.15,1.5
Koygorodok,83,RU,1584203890,91,60.45,51,267.94,2.6
Tanete,100,ID,1584203890,90,-3.94,119.78,297.24,1.24
Mareeba,44,AU,1584203890,83,-17,145.43,296.15,1.21
Gejiu,53,CN,1584203890,93,23.31,103.16,286.54,1.31
Khilok,52,RU,1584203891,99,51.37,110.47,265.04,0.94
Qasigiannguit,90,GL,1584203891,77,68.82,-51.19,258.15,5.7
Huarmey,84,PE,1584203891,48,-10.07,-78.15,302.54,5.92
Cabedelo,40,BR,1584203759,62,-6.98,-34.83,304.15,5.7
Gelgaudiškis,53,LT,1584203891,67,55.08,22.98,271.54,4.86
Tamandaré,94,BR,1584203891,66,-8.76,-35.1,301.84,4.22
Messina,40,IT,1584203803,77,38.19,15.55,290.37,2.6
Esperance,75,AU,1584203891,93,-33.87,121.9,291.15,5.7
Zeya,0,RU,1584203892,86,53.75,127.27,251.34,2.55
Shingū,17,JP,1584203892,68,33.73,135.98,280.74,5.5
Carndonagh,99,IE,1584203892,89,55.25,-7.27,282.04,5.23
Jaru,100,BR,1584203892,85,-10.44,-62.47,302.34,1.78
Riberalta,75,BO,1584203892,79,-10.98,-66.1,303.15,1.07
Marawi,2,PH,1584203892,86,8,124.29,297.59,1.34
Paracuru,75,BR,1584203892,74,-3.41,-39.03,302.15,5.7
Yenagoa,17,NG,1584203893,54,4.92,6.26,303.84,2.52
Nobres,70,BR,1584203893,69,-14.72,-56.33,303.34,1.54
Beroroha,9,MG,1584203893,62,-21.67,45.17,298.54,4.03
Umluj,0,SA,1584203893,44,25.02,37.27,292.54,2.5
Jérémie,23,HT,1584203893,62,18.65,-74.12,298.54,2.93
Bogotol,57,RU,1584203893,84,56.21,89.53,269.94,3.59
Salem,64,IN,1584203893,67,11.65,78.17,298.54,2.53
Nucet,100,RO,1584203893,53,44.78,25.55,284.26,2.6
Tshikapa,82,CD,1584203894,91,-6.42,20.8,296.04,0.87
São Félix do Xingu,100,BR,1584203894,84,-6.64,-51.99,301.24,1.07
San Quintín,5,MX,1584203669,69,30.48,-115.95,289.84,4.27
Waddān,33,LY,1584203894,19,29.16,16.14,294.64,1.39
Tongliao,0,CN,1584203894,53,43.61,122.27,269.24,5.3
Caucayá,100,CO,1584203894,98,-0.19,-74.78,296.14,2.74
Paphos,20,CY,1584203894,77,34.77,32.42,291.15,3.1
Bahía Blanca,18,AR,1584203894,20,-38.72,-62.27,297.94,4.66
Mayo,1,US,1584203895,32,38.89,-76.51,286.48,3.1
Havelock,1,US,1584203895,36,34.88,-76.9,292.59,7.2
Russell,1,US,1584203895,65,32.35,-85.2,300.37,1.5
Valdivia,40,CL,1584203895,52,-39.81,-73.25,291.15,4.6
Yar-Sale,100,RU,1584203895,91,66.83,70.83,259.84,8.28
Ossora,62,RU,1584203895,74,59.24,163.07,265.04,2.66
Viedma,0,AR,1584203739,33,-40.81,-63,294.24,7.32
